"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R22,R25,R26,R2,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"2K2";;;
2;"R35,R36,R23,R5,R29,R40,R6,R17,R19,R16,R41,R20,R21,R39,R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";16;"1K";;;
3;"SW3";"DG30825402P1400AH";1;"JP1";;;
4;"J2";"TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal";1;"SPI";;;
5;"R30,R10,R24,R11,R27,R28,R37,R38";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10K";;;
6;"U3";"12V Step-Down";1;"Step-down 12V";;;
7;"J10";"HOLE";1;"TO";;;
8;"SW1,SW2";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";2;"SW_DIP_x02";;;
9;"PAS1";"DG30825403P1400AH";1;"J11";;;
10;"A1";"Arduino_Nano";1;"Arduino_Nano";;;
11;"5V1";"DG30825402P1400AH";1;"JP3";;;
12;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"75k";;;
13;"J8";"HOLE";1;"BAT";;;
14;"R9,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100K";;;
15;"SCR1";"DG30825403P1400AH";1;"JP7";;;
16;"J6";"HOLE";1;"PAS2";;;
17;"J5";"HOLE";1;"A2";;;
18;"SCR2";"DG30825403P1400AH";1;"JP8";;;
19;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4k7";;;
20;"J9";"HOLE";1;"CUR";;;
21;"J4";"HOLE";1;"D4";;;
22;"BRK/TMP1";"DG30825403P1400AH";1;"J12";;;
23;"VIN1";"DG30825403P1400AH";1;"JP5";;;
24;"UART1";"DG30825402P1400AH";1;"JP2";;;
25;"12V1";"DG30825403P1400AH";1;"JP4";;;
26;"J3";"HOLE";1;"D9";;;
27;"J7";"HOLE";1;"TIN";;;
28;"U2";"ADS1115PCB";1;"~";;;
29;"CUR1";"DG30825403P1400AH";1;"JP6";;;
30;"J1";"TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal";1;"UART";;;
31;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2K";;;
32;"U4";"5V Step-Down";1;"Step-down 5V";;;
33;"SPD/TOT1";"DG30825403P1400AH";1;"JP9";;;
34;"D1,D2";"D_MELF";2;"SM4007";;;
35;"3V3/TS1";"DG30825403P1400AH";1;"J13";;;
36;"TIN1";"DG30825403P1400AH";1;"J10";;;
37;"C2,C8,C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"100nF";;;
38;"C3,C9";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10nF";;;
39;"C6";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10uF";;;
40;"C5";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1nF";;;
